Annee;2016;2017;2018;2019;2020;2021
Production primaire;107,39;109,95;103,57;125,73;82,05;24,44
Importations formelles;992,55;1 007,92;1 194,99;974,37;574,03;686,16
Importations non formelles;0;0;0;0;0;0
Exportations;0;0;0;-1,87;-1,91;-1,89
Reexportations;0;0;0;0;0;0
Reexportations non formelles;;;;0;0;0
Soutages Aeriens ;0;0;0;0;0;0
Soutages maritimes ;0;0;0;0;0;0
Variation des stocks;0;0;0;0;0;0
Approvisionnements net;1099,94;1 117,88;1 298,56;1 098,22;654,16;708,7
Transformation;-22,65;27,35;-78,58;157,23;575;715,97
Centrales electriques;169,82;226,31;82,95;359,64;810,02;917,11
Autoproducteurs d'electricite;95,61;98,5;133,96;160,98;171,71;193,03
Four a charbon de bois;0;0;0;0;0;0
Consommation industries energetiques;0;0;0;-63,92;-100,3;-94,7
Pertes de distribution & transport;-288,090172;-297,4632478;-295,4886867;-299,4708527;-306,4238987;-299,4801693
Utilisation a des fins non energetiques;0;0;0;0;0;0
Disponibilite pour consommation finale;1077,28;1 145,23;1 219,98;1 255,45;1 229,17;1 424,67
Industrie;232,67;255,88;287,6;278,41;312,58;340,27
Cimenterie (Materiaux de base);143,27;139,84;162,23;204,24;217,07;237,16
Textiles (Materiaux de base);0;0;7,38;9,37;2,21;12,37
Brasseries (Non-durables);14,33;14,33;18,64;20,98;19,58;19,88
Industries alimentaires (Non-durables);5,6;5,6;2,59;20,22;21,52;23,92
Industries de bois;0;0;0;0,36;0,37;0,36
Fabrication de machines et ‚quipements;0;0;0,32;1,49;1,16;1,42
Industries m‚tallurgiques (Mat‚riaux de base);0;0;0,48;18,97;9,45;31,05
Fabrication de produits chimiques;;;;1,23;1,46;1,71
Fabrication de produits pharmaceutiques;0;0;0;0,04;0;0,02
Mines;0;0;0;0;0;0,08
Construction (Batiment et TP);0;0;0,55;1,5;39,75;12,25
 Autres industries;69,47;96,11;95,41;0;0;0,06
Agriculture;6,94;12,13;38,04;39,46;43,47;45,62
Industrie egrenage de coton (Mat‚riaux de base);6,68;11,87;37,83;37,25;41,33;44,46
 Autres secteur agricoles;0,26;0,26;0,21;2,2;2,15;1,16
Services;449,18;495,38;480,99;489,23;413,93;669,27
 Administration public centrale;64,33;0;0;34,42;32,05;30,46
Collectivites locales;1,92;0;0;0,63;0,64;0,79
Societes et offices d'Etat;64,17;133,83;119,29;71,11;69,77;79,65
Ambassades et Institutions Internationales ;;;;7,07;6,51;7,79
 Banques et Finances;;;;13,3;12,64;14,29
Enseignements;;;;12,05;11,59;13,05
Hotels et Restaurants;301,14;340,64;340,79;13,86;10,54;20,99
Commercre gros et detail;;;;;;12,45
Sante humaine;;;;;;6,12
Telecommunication;;;;;;251,01
Eclairage public;12,58;15,87;15,87;19,89;22,58;16,65
Eclairage public par lampadaire solaire;5,05;5,05;5,05;5,94;8,62;13,46
Autres tertiaires;0;0;0;74,38;68,31;202,56
ND;0;0;0;236,58;170,69;
Menages;383,44;376,22;376,01;449,11;454,51;353,37
Menages HR;;;;1,83;1,83;1,81
Menages BT;;;;447;452,45;350,86
Menages MT;;;;0,27;0,23;0,7
Transports;0;0;0;0;0;0
Routiers;0;0;0;0;0;0
Ferroviaires;0;0;0;0;0;0
Aeriens;0;0;0;0;0;0
Fluviales;0;0;0;0;0;0
Consommation finale totale;1072,233269;1139,605681;1182,648516;1256,204377;1224,491573;1408,531824
Ecarts statistiques;5,05;5,62;37,34;1,08;6,51;16,14
WARTSILA;;;;;;
Lubrifiant (litre);1 242;2 133;4 406;8 845;3 550;2105
Gasoil (litre);43 086 560;19 617 345;4 851 583;393 300,30;355 004;1178055
Electricite (kwh);162 939 512;86 389 857;20 256 565;1654864;1 335 558;4 300 558
Centrale SIF - Porto-Novo;;;;;;
Lubrifiant (kg);81;774;855;3 168;150;100
Gasoil (kg);3 540;69 452;54 503;132 136;114 012;155776
Electricite (kwh);14 498;295 119;240 042;600 506;428 312;593326
Centrale SIF - Parakou;;;;;;
Lubrifiant (kg);0;756;2 948;4 550;400;275
Gasoil (kg);0;38 097;120 184;154 829;93 753;82598
Electricite (kwh);0;151 265;493 233;628 799;352 568;304315
Centrale SIF - Natitingou;;;;;;
Lubrifiant (kg);3 540;603;603;243;3 000;1730
Gasoil (kg);313 473;9 936;58 724;106 336;147 239;939681
Electricite (kwh);1 139 796;23 114;206 585;425 559;554 678;3402917
